"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 19:57:42 UTC 2025","Thu Sep 04 19:57:43 UTC 2025","834","","Get Book by ID validation","","Get book by very large ID","","Get book by very large ID",""
"failed","Thu Sep 04 19:57:40 UTC 2025","Thu Sep 04 19:57:41 UTC 2025","840","","Get Book by ID validation","","Get book by negative ID","","Get book by negative ID",""
"passed","Thu Sep 04 19:57:45 UTC 2025","Thu Sep 04 19:57:46 UTC 2025","828","","Authentication Security Tests","","Access API with empty credentials","","Access API with empty credentials",""
"passed","Thu Sep 04 19:57:46 UTC 2025","Thu Sep 04 19:57:46 UTC 2025","270","","Authentication Security Tests","","Access API without authentication","","Access API without authentication",""
"passed","Thu Sep 04 19:57:43 UTC 2025","Thu Sep 04 19:57:44 UTC 2025","808","","Authentication Security Tests","","Access API with invalid username","","Access API with invalid username",""
"passed","Thu Sep 04 19:57:39 UTC 2025","Thu Sep 04 19:57:40 UTC 2025","835","","Get Book by ID validation","","Get book by invalid ID format - string","","Get book by invalid ID format - string",""
"passed","Thu Sep 04 19:57:37 UTC 2025","Thu Sep 04 19:57:38 UTC 2025","822","","Get Book by ID validation","","Get existing book by valid ID and with spaces before and after ID","","Get existing book by valid ID and with spaces before and after ID",""
"passed","Thu Sep 04 19:57:41 UTC 2025","Thu Sep 04 19:57:42 UTC 2025","822","","Get Book by ID validation","","Get book by decimal ID","","Get book by decimal ID",""
"passed","Thu Sep 04 19:57:41 UTC 2025","Thu Sep 04 19:57:41 UTC 2025","837","","Get Book by ID validation","","Get book by zero ID","","Get book by zero ID",""
"passed","Thu Sep 04 19:57:33 UTC 2025","Thu Sep 04 19:57:37 UTC 2025","3709","","Get Book by ID validation","","Get existing book by valid ID","","Get existing book by valid ID",""
"passed","Thu Sep 04 19:57:44 UTC 2025","Thu Sep 04 19:57:45 UTC 2025","816","","Authentication Security Tests","","Access API with invalid password","","Access API with invalid password",""
"passed","Thu Sep 04 19:57:38 UTC 2025","Thu Sep 04 19:57:39 UTC 2025","859","","Get Book by ID validation","","Get book by non-existent ID","","Get book by non-existent ID",""
